@relation R_data_frame

@attribute nonecholoc numeric
@attribute loc numeric
@attribute nmethods numeric
@attribute ccomdeep numeric
@attribute ccom numeric
@attribute nest numeric
@attribute hvol numeric
@attribute nIncomingCalls numeric
@attribute nIncomingCallsUniq numeric
@attribute nOutgoingInternCalls numeric
@attribute nOutgoingExternFlsCalled numeric
@attribute nOutgoingExternFlsCalledUniq numeric
@attribute nOutgoingExternCallsUniq numeric
@attribute IsVulnerable {no,yes}

@data
58,58,0,12,12,2,490.191513,0,0,0,36,29,23,no
90,107,1,20,20,5,1473.469064,0,0,0,106,69,50,no
38,43,0,8,8,2,419.666089,0,0,0,69,54,26,no
130,130,0,26,26,4,2262.27273,0,0,0,100,70,84,no
96,96,1,13,13,5,1359.742007,0,0,1,94,66,42,no
36,38,0,7,7,1,303.317105,0,0,0,15,11,16,no
16,16,0,3,3,1,84.9964,0,0,0,7,6,7,no
353,356,0,80,80,5,4234.754972,0,0,0,72,56,188,no
65,65,0,15,15,5,524.211083,0,0,0,26,19,28,no
26,26,0,6,6,2,169.316688,0,0,0,10,7,14,no
53,55,0,10,10,4,590.5518,0,0,0,75,57,16,no
27,28,0,5,5,1,220.279976,0,0,0,14,7,15,no
49,49,0,10,10,2,494.261178,0,0,0,34,28,30,no
21,23,0,6,6,2,118.736375,0,0,0,8,6,10,no
20,20,0,2,2,1,163.257474,0,0,0,55,44,16,no
12,12,1,2,2,1,52.781147,9,9,0,9,9,6,no
36,36,1,4,4,2,222.102432,9,9,0,21,18,28,no
13,13,0,2,2,1,60.996952,0,0,0,72,68,7,no
28,29,0,4,4,2,366.356165,0,0,0,108,91,21,no
22,22,2,2,2,1,114.83312,2,2,0,7,6,11,no
46,51,1,9,9,4,480.028925,0,0,1,28,17,25,no
52,52,0,13,13,3,450.618082,0,0,0,29,26,13,no
70,70,0,9,9,2,659.857701,0,0,0,48,32,31,no
60,62,0,10,10,4,619.365539,0,0,0,28,15,37,no
159,159,2,29,29,3,1980.849854,0,0,2,62,42,74,no
939,939,30,131,131,6,13163.457691,2281,927,22,1357,1161,190,no
99,99,4,14,14,2,1083.366287,0,0,4,38,30,34,no
504,511,83,31,31,5,3173.25296,64,4,8,70,41,55,no
250,252,0,46,46,5,3595.497477,0,0,0,109,56,185,no
27,27,0,5,5,3,259.98609,0,0,0,51,22,25,no
232,232,2,54,54,6,2714.913553,0,0,2,50,25,124,no
23,23,0,4,4,1,111.888681,0,0,0,11,8,10,no
54,54,0,8,8,3,640.101482,0,0,0,72,51,46,no
23,23,1,5,5,1,205.405046,0,0,1,7,7,8,no
128,135,0,35,35,7,2008.313204,0,0,0,73,46,89,no
26,26,0,4,4,2,269.2882,0,0,0,65,52,25,no
60,62,0,12,12,4,719.002438,0,0,0,32,20,49,no
90,90,4,15,15,4,1032.384344,148,73,0,48,38,61,no
156,156,0,24,24,3,1993.732063,0,0,0,145,111,95,no
47,47,0,9,9,2,578.612698,0,0,0,118,87,29,no
21,21,1,2,2,1,160.734208,9,9,0,12,12,17,no
47,47,0,9,9,5,629.15131,0,0,0,129,97,24,no
34,34,1,6,6,2,343.39872,9,9,0,42,42,17,no
20,20,0,4,4,2,209.751553,0,0,0,3,3,6,no
135,135,0,15,15,3,1453.30791,0,0,0,70,46,70,no
42,42,0,14,14,4,449.059317,0,0,0,25,18,22,no
111,111,0,17,17,3,1641.958449,0,0,0,126,100,69,no
65,68,1,18,18,7,766.123587,0,0,0,142,106,26,no
64,67,1,25,25,7,857.63157,0,0,1,34,19,17,no
16,18,0,1,1,0,105.358371,0,0,0,5,3,3,no
150,150,1,32,32,7,1910.659894,0,0,1,228,152,77,no
45,45,0,10,10,3,495.41003,0,0,0,15,13,16,no
21,21,0,4,4,3,194.081211,0,0,0,19,10,17,no
171,171,3,37,37,3,2494.522748,0,0,3,105,72,108,no
37,37,0,4,4,2,409.465619,0,0,0,22,14,21,no
312,312,5,18,18,2,3625.128146,100,72,1,148,124,256,yes
25,25,0,5,5,2,253.897958,0,0,0,78,70,16,no
91,91,0,23,23,5,1005.517138,0,0,0,71,61,41,no
138,138,9,17,17,4,1248.786507,26,17,2,56,30,51,no
78,78,0,11,11,3,1203.943869,0,0,0,96,83,49,no
65,65,3,3,3,2,590.333583,3,2,0,16,13,31,no
32,39,0,4,4,1,370.019726,0,0,0,63,54,25,no
72,86,0,13,13,7,1023.586141,0,0,0,32,20,46,no
3,3,0,1,1,0,32.236191,0,0,0,25,25,2,no
105,115,1,26,26,3,1601.355125,1,1,1,64,46,57,no
12,12,0,1,1,0,0,0,0,0,0,0,0,no
3,3,0,1,1,0,32.236191,0,0,0,25,25,2,no
72,72,0,10,10,3,938.482662,0,0,0,74,63,29,no
7,7,0,1,1,0,0,0,0,0,0,0,0,no
3,3,0,1,1,0,32.236191,0,0,0,25,25,2,no
14,14,0,1,1,0,0,0,0,0,0,0,0,no
79,83,0,16,16,4,1219.878471,0,0,0,48,32,44,no
3,3,0,1,1,0,0,0,0,0,0,0,0,no
44,44,0,5,5,1,403.506224,0,0,0,28,23,14,no
3,3,0,1,1,0,32.236191,0,0,0,25,25,2,no
3,3,0,1,1,0,4.394449,0,0,0,0,0,0,no
20,20,0,1,1,0,8.04719,0,0,0,0,0,0,no
20,20,1,5,5,2,91.495428,0,0,0,12,6,9,no
68,68,0,13,13,3,876.450087,0,0,0,158,109,43,no
32,32,1,3,3,2,243.891928,9,9,0,32,29,26,no
69,69,0,11,11,3,699.370138,0,0,0,40,23,58,no
32,32,0,1,1,0,44.36142,0,0,0,0,0,0,no
2,2,0,1,1,0,3.295837,0,0,0,0,0,0,no
252,252,14,51,51,4,3240.318271,1684,566,5,81,27,56,no
