monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,monthly_commits_12mo
123,1,0,0,0,0,0,10,23,23,0,0,0,83
52,1,0,0,0,0,0,2,3,0,0,0,0,102
40,1,0,0,0,0,0,1,5,0,0,0,0,145
7,1,0,0,0,0,0,0,0,0,0,0,2,100
1,1,0,0,0,0,0,0,0,0,0,0,3,165
21,1,1,0,1,1,0,0,5,1,0,0,2,212
0,0,0,0,0,0,0,0,0,0,0,0,4,189
23,1,0,0,0,0,0,1,4,6,0,0,1,232
34,1,0,0,0,0,0,0,3,0,0,0,1,52
128,2,6,0,6,1,0,6,24,1,0,0,2,214
71,2,5,0,5,1,2,6,21,8,0,0,0,232
24,1,0,0,0,0,0,0,3,0,0,0,2,121
83,2,3,0,3,1,0,6,10,2,0,0,1,301
102,2,6,0,6,1,2,0,6,1,0,0,0,222
145,1,3,0,3,1,0,5,9,5,0,0,2,256
100,1,3,0,2,1,1,4,10,2,0,0,1,211
165,3,0,0,0,0,0,10,26,18,0,0,1,365
212,3,2,0,2,1,0,4,19,8,0,0,1,304
189,4,7,1,5,2,30,3,31,29,39,2,0,434
232,6,7,1,5,1,25,21,53,137,23,5,0,300
52,3,3,1,2,1,3,0,13,22,35,3,1,400
214,6,14,0,12,2,13,3,42,24,194,27,0,308
232,16,17,1,18,2,29,12,92,113,201,30,1,569
121,12,17,3,14,1,34,6,38,84,254,23,1,404
301,12,20,2,17,3,50,15,88,192,99,22,0,492
222,10,17,3,14,2,33,9,57,104,163,32,0,419
256,11,14,2,13,1,21,13,62,186,112,27,1,303
211,13,21,2,17,3,33,6,80,140,184,56,1,919
365,22,65,3,62,3,61,13,130,158,154,44,0,403
