nonecholoc,loc,nmethods,ccomdeep,ccom,nest,hvol,nIncomingCalls,nIncomingCallsUniq,nOutgoingInternCalls,nOutgoingExternFlsCalled,nOutgoingExternFlsCalledUniq,nOutgoingExternCallsUniq
312.0,312.0,5.0,18.0,18.0,2.0,3625.128146,100.0,72.0,1.0,148.0,124.0,256.0
166.0,170.0,0.0,53.0,53.0,6.0,2918.638493,0.0,0.0,0.0,130.0,66.0,106.0
120.0,123.0,0.0,25.0,25.0,4.0,2122.20592,0.0,0.0,0.0,42.0,21.0,60.0
161.0,173.0,1.0,46.0,46.0,7.0,3226.892502,3.0,3.0,1.0,128.0,73.0,121.0
59.0,59.0,0.0,11.0,11.0,3.0,714.797745,0.0,0.0,0.0,73.0,45.0,43.0
502.0,502.0,14.0,50.0,50.0,4.0,5872.916329,9.0,6.0,5.0,62.0,51.0,167.0
1351.0,1357.0,102.0,281.0,281.0,5.0,21564.817134,3054.0,1438.0,44.0,244.0,141.0,231.0
1382.0,1388.0,141.0,155.0,155.0,5.0,22912.813922,10229.0,974.0,32.0,1352.0,1157.0,484.0
274.0,274.0,32.0,48.0,48.0,2.0,3124.090913,2649.0,636.0,9.0,1076.0,1024.0,64.0
141.0,145.0,0.0,33.0,33.0,3.0,2631.344296,0.0,0.0,0.0,146.0,73.0,136.0
707.0,707.0,40.0,156.0,156.0,6.0,12557.333458,1141.0,573.0,16.0,34.0,26.0,110.0
84.0,85.0,0.0,11.0,11.0,2.0,1032.975622,0.0,0.0,0.0,89.0,58.0,58.0
542.0,542.0,51.0,76.0,76.0,5.0,6390.339805,1825.0,634.0,18.0,1228.0,1077.0,128.0
10.0,10.0,0.0,4.0,4.0,2.0,59.577104,0.0,0.0,0.0,5.0,3.0,5.0
625.0,625.0,54.0,89.0,89.0,7.0,8855.262721,1215.0,570.0,19.0,217.0,96.0,150.0
91.0,91.0,2.0,13.0,13.0,4.0,952.315449,73.0,72.0,1.0,135.0,116.0,86.0
329.0,329.0,15.0,67.0,67.0,7.0,5729.330933,257.0,232.0,3.0,188.0,142.0,104.0
109.0,109.0,10.0,26.0,26.0,3.0,1412.808942,694.0,630.0,5.0,1051.0,1022.0,23.0
23.0,23.0,0.0,3.0,3.0,1.0,247.262807,0.0,0.0,0.0,48.0,38.0,20.0
