nonecholoc,loc,nmethods,ccomdeep,ccom,nest,hvol,nIncomingCalls,nIncomingCallsUniq,nOutgoingInternCalls,nOutgoingExternFlsCalled,nOutgoingExternFlsCalledUniq,nOutgoingExternCallsUniq
0,0,1.0,53.0,4.0,3.0,8855.262721,1141.0,232.0,44.0,0,116.0,0
1,1,10.0,4.0,13.0,3.0,3124.090913,73.0,232.0,0.0,1,116.0,1
2,2,1.0,53.0,13.0,3.0,3124.090913,1825.0,232.0,16.0,2,116.0,2
3,3,1.0,155.0,13.0,3.0,8855.262721,3.0,974.0,44.0,3,116.0,3
4,4,0.0,155.0,13.0,2.0,8855.262721,694.0,1438.0,18.0,4,21.0,4
5,5,10.0,4.0,4.0,7.0,8855.262721,694.0,636.0,16.0,5,116.0,5
6,6,0.0,4.0,13.0,3.0,3124.090913,73.0,636.0,3.0,6,116.0,6
7,7,32.0,4.0,4.0,3.0,3625.128146,1825.0,232.0,3.0,7,1157.0,7
8,8,141.0,25.0,4.0,3.0,3124.090913,1825.0,1438.0,16.0,8,1157.0,8
9,9,0.0,281.0,13.0,7.0,8855.262721,10229.0,636.0,3.0,9,124.0,9
10,10,15.0,281.0,25.0,3.0,8855.262721,3.0,232.0,16.0,10,1157.0,10
11,11,0.0,4.0,4.0,3.0,8855.262721,100.0,636.0,3.0,11,124.0,11
12,12,1.0,4.0,4.0,3.0,3124.090913,1825.0,6.0,3.0,12,66.0,12
13,13,32.0,4.0,89.0,2.0,3625.128146,3.0,6.0,18.0,13,1157.0,13
14,14,0.0,4.0,4.0,3.0,8855.262721,73.0,1438.0,44.0,14,116.0,14
15,15,0.0,4.0,4.0,2.0,2918.638493,694.0,6.0,16.0,15,116.0,15
16,16,0.0,4.0,13.0,7.0,2918.638493,1825.0,232.0,16.0,16,1157.0,16
17,17,15.0,53.0,4.0,5.0,3124.090913,73.0,636.0,3.0,17,116.0,17
18,18,15.0,155.0,4.0,3.0,3124.090913,100.0,634.0,18.0,18,21.0,18
19,19,32.0,281.0,13.0,3.0,1032.975622,73.0,636.0,44.0,19,21.0,19
20,20,141.0,281.0,13.0,3.0,8855.262721,257.0,232.0,19.0,20,1157.0,20
21,21,15.0,53.0,89.0,3.0,3124.090913,694.0,232.0,44.0,21,21.0,21
22,22,0.0,281.0,4.0,3.0,8855.262721,1825.0,6.0,44.0,22,1157.0,22
23,23,15.0,155.0,4.0,7.0,21564.817134,1825.0,634.0,44.0,23,1157.0,23
24,24,0.0,4.0,89.0,3.0,3124.090913,1825.0,232.0,0.0,24,116.0,24
25,25,1.0,281.0,13.0,5.0,1032.975622,1141.0,1438.0,44.0,25,116.0,25
26,26,0.0,4.0,13.0,3.0,2918.638493,257.0,6.0,18.0,26,1157.0,26
27,27,32.0,4.0,18.0,3.0,3124.090913,3.0,636.0,44.0,27,1157.0,27
28,28,0.0,4.0,4.0,3.0,21564.817134,73.0,1438.0,44.0,28,1157.0,28
29,29,0.0,4.0,4.0,3.0,5729.330933,73.0,6.0,3.0,29,66.0,29
