oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.84,0.68,0.415,0.05,0.515,0.682,0.577,0.415
No,0,KNN,0.855,0.773,0.415,0.031,0.54,0.692,0.581,0.415
No,0,LR,0.825,0.6,0.439,0.075,0.507,0.682,0.595,0.4
No,0,DT,0.765,0.435,0.488,0.164,0.46,0.662,0.616,0.38
No,0,RF,0.845,0.667,0.488,0.063,0.563,0.712,0.642,0.365
No,0,LightGBM,0.84,0.622,0.561,0.088,0.59,0.736,0.695,0.317
No,0,Adaboost,0.815,0.55,0.537,0.113,0.543,0.712,0.669,0.337
No,0,GBDT,0.865,0.706,0.585,0.063,0.64,0.761,0.721,0.297
Random,0.01,SVM,0.76,0.444,0.683,0.22,0.538,0.731,0.728,0.273
Random,0.01,KNN,0.76,0.434,0.561,0.189,0.489,0.686,0.663,0.338
Random,0.01,LR,0.745,0.429,0.732,0.252,0.541,0.74,0.74,0.26
Random,0.01,DT,0.795,0.5,0.585,0.151,0.539,0.717,0.693,0.312
Random,0.01,RF,0.86,0.667,0.634,0.082,0.65,0.776,0.75,0.265
Random,0.01,LightGBM,0.845,0.639,0.561,0.082,0.597,0.74,0.696,0.316
Random,0.01,Adaboost,0.79,0.491,0.659,0.176,0.562,0.741,0.732,0.272
Random,0.01,GBDT,0.835,0.595,0.61,0.107,0.602,0.751,0.725,0.286
ADASYN,0.02,SVM,0.725,0.394,0.634,0.252,0.486,0.691,0.687,0.314
ADASYN,0.02,KNN,0.735,0.403,0.61,0.233,0.485,0.689,0.68,0.321
ADASYN,0.02,LR,0.69,0.373,0.756,0.327,0.5,0.715,0.712,0.288
ADASYN,0.02,DT,0.74,0.4,0.537,0.208,0.458,0.665,0.64,0.359
ADASYN,0.02,RF,0.82,0.558,0.585,0.119,0.571,0.733,0.703,0.305
ADASYN,0.02,LightGBM,0.82,0.561,0.561,0.113,0.561,0.724,0.687,0.321
ADASYN,0.02,Adaboost,0.79,0.49,0.585,0.157,0.533,0.714,0.691,0.314
ADASYN,0.02,GBDT,0.81,0.532,0.61,0.138,0.568,0.736,0.714,0.293
BorderlineSMOTE,0.05,SVM,0.735,0.406,0.634,0.239,0.495,0.698,0.692,0.309
BorderlineSMOTE,0.05,KNN,0.74,0.407,0.585,0.22,0.48,0.683,0.669,0.332
BorderlineSMOTE,0.05,LR,0.72,0.4,0.732,0.283,0.517,0.724,0.724,0.276
BorderlineSMOTE,0.05,DT,0.83,0.571,0.683,0.132,0.622,0.775,0.764,0.243
BorderlineSMOTE,0.05,RF,0.865,0.675,0.659,0.082,0.667,0.788,0.767,0.248
BorderlineSMOTE,0.05,LightGBM,0.84,0.629,0.537,0.082,0.579,0.727,0.677,0.333
BorderlineSMOTE,0.05,Adaboost,0.78,0.472,0.61,0.176,0.532,0.717,0.701,0.303
BorderlineSMOTE,0.05,GBDT,0.84,0.622,0.561,0.088,0.59,0.736,0.695,0.317
SMOTE,0.02,SVM,0.76,0.436,0.585,0.195,0.5,0.695,0.678,0.324
SMOTE,0.02,KNN,0.75,0.421,0.585,0.208,0.49,0.689,0.673,0.328
SMOTE,0.02,LR,0.725,0.4,0.683,0.264,0.505,0.709,0.708,0.292
SMOTE,0.02,DT,0.78,0.467,0.512,0.151,0.488,0.681,0.639,0.361
SMOTE,0.02,RF,0.825,0.575,0.561,0.107,0.568,0.727,0.689,0.32
SMOTE,0.02,LightGBM,0.825,0.575,0.561,0.107,0.568,0.727,0.689,0.32
SMOTE,0.02,Adaboost,0.8,0.51,0.634,0.157,0.565,0.738,0.724,0.282
SMOTE,0.02,GBDT,0.845,0.625,0.61,0.094,0.617,0.758,0.729,0.284
SVMSMOTE,0.02,SVM,0.835,0.587,0.659,0.119,0.621,0.77,0.754,0.256
SVMSMOTE,0.02,KNN,0.77,0.453,0.585,0.182,0.511,0.701,0.682,0.32
SVMSMOTE,0.02,LR,0.775,0.464,0.634,0.189,0.536,0.723,0.712,0.291
SVMSMOTE,0.02,DT,0.735,0.393,0.537,0.214,0.454,0.661,0.638,0.361
SVMSMOTE,0.02,RF,0.855,0.658,0.61,0.082,0.633,0.764,0.733,0.282
SVMSMOTE,0.02,LightGBM,0.845,0.625,0.61,0.094,0.617,0.758,0.729,0.284
SVMSMOTE,0.02,Adaboost,0.795,0.5,0.561,0.145,0.529,0.708,0.678,0.327
SVMSMOTE,0.02,GBDT,0.855,0.63,0.707,0.107,0.667,0.8,0.789,0.22
SMOTUNED,30.88,SVM,0.765,0.452,0.683,0.214,0.544,0.735,0.731,0.27
SMOTUNED,23.55,KNN,0.77,0.451,0.561,0.176,0.5,0.692,0.667,0.334
SMOTUNED,428.06,LR,0.755,0.435,0.659,0.22,0.524,0.719,0.714,0.287
SMOTUNED,34.41,DT,0.785,0.482,0.659,0.182,0.557,0.738,0.73,0.274
SMOTUNED,177.33,RF,0.81,0.526,0.732,0.17,0.612,0.781,0.778,0.225
SMOTUNED,68.57,LightGBM,0.78,0.475,0.707,0.201,0.569,0.753,0.75,0.251
SMOTUNED,271.04,Adaboost,0.76,0.436,0.585,0.195,0.5,0.695,0.678,0.324
SMOTUNED,547.79,GBDT,0.795,0.5,0.61,0.157,0.549,0.726,0.708,0.297
DAZZLE,1008.44,SVM,0.205,0.205,1.0,1.0,0.34,0.5,0.0,0.707
DAZZLE,1008.44,KNN,0.3,0.214,0.902,0.855,0.346,0.524,0.249,0.609
DAZZLE,1008.44,LR,0.23,0.207,0.976,0.962,0.342,0.507,0.073,0.681
DAZZLE,1008.44,DT,0.445,0.15,0.366,0.535,0.213,0.416,0.41,0.586
DAZZLE,1008.44,RF,0.205,0.205,1.0,1.0,0.34,0.5,0.0,0.707
DAZZLE,1008.44,LightGBM,0.2,0.201,0.976,1.0,0.333,0.488,0.0,0.707
DAZZLE,1008.44,Adaboost,0.205,0.205,1.0,1.0,0.34,0.5,0.0,0.707
DAZZLE,1008.44,GBDT,0.77,0.143,0.024,0.038,0.042,0.493,0.048,0.69
WGAN,40.41,SVM,0.795,0.0,0.0,0.0,0.0,0.5,0.0,0.707
WGAN,40.41,KNN,0.295,0.213,0.902,0.862,0.344,0.52,0.24,0.613
WGAN,40.41,LR,0.23,0.207,0.976,0.962,0.342,0.507,0.073,0.681
WGAN,40.41,DT,0.79,0.0,0.0,0.006,0.0,0.497,0.0,0.707
WGAN,40.41,RF,0.205,0.205,1.0,1.0,0.34,0.5,0.0,0.707
WGAN,40.41,LightGBM,0.205,0.205,1.0,1.0,0.34,0.5,0.0,0.707
WGAN,40.41,Adaboost,0.205,0.205,1.0,1.0,0.34,0.5,0.0,0.707
WGAN,40.41,GBDT,0.205,0.205,1.0,1.0,0.34,0.5,0.0,0.707
RP,0.4665839672088623,SVM,0.76,0.443,0.659,0.214,0.529,0.722,0.717,0.285
RP,0.4665839672088623,KNN,0.77,0.453,0.585,0.182,0.511,0.701,0.682,0.32
RP,0.4665839672088623,LR,0.74,0.415,0.659,0.239,0.509,0.71,0.706,0.295
RP,0.4665839672088623,DT,0.76,0.436,0.585,0.195,0.5,0.695,0.678,0.324
RP,0.4665839672088623,RF,0.835,0.591,0.634,0.113,0.612,0.76,0.739,0.271
RP,0.4665839672088623,LightGBM,0.865,0.694,0.61,0.069,0.649,0.77,0.737,0.28
RP,0.4665839672088623,Adaboost,0.815,0.54,0.659,0.145,0.593,0.757,0.744,0.262
RP,0.4665839672088623,GBDT,0.82,0.556,0.61,0.126,0.581,0.742,0.718,0.29
Howso1,44.65120053291321,SVM,0.695,0.375,0.732,0.314,0.496,0.709,0.708,0.292
Howso1,44.65120053291321,KNN,0.695,0.372,0.707,0.308,0.487,0.7,0.699,0.301
Howso1,44.65120053291321,LR,0.72,0.394,0.683,0.27,0.5,0.706,0.705,0.295
Howso1,44.65120053291321,DT,0.675,0.354,0.707,0.333,0.472,0.687,0.686,0.314
Howso1,44.65120053291321,RF,0.745,0.432,0.78,0.264,0.557,0.758,0.758,0.243
Howso1,44.65120053291321,LightGBM,0.75,0.437,0.756,0.252,0.554,0.752,0.752,0.248
Howso1,44.65120053291321,Adaboost,0.71,0.39,0.732,0.296,0.508,0.718,0.718,0.282
Howso1,44.65120053291321,GBDT,0.725,0.41,0.78,0.289,0.538,0.746,0.744,0.257
Howso2,41.77590465545654,SVM,0.75,0.426,0.634,0.22,0.51,0.707,0.7,0.302
Howso2,41.77590465545654,KNN,0.845,0.656,0.512,0.069,0.575,0.722,0.661,0.348
Howso2,41.77590465545654,LR,0.755,0.435,0.659,0.22,0.524,0.719,0.714,0.287
Howso2,41.77590465545654,DT,0.775,0.455,0.488,0.151,0.471,0.668,0.62,0.378
Howso2,41.77590465545654,RF,0.845,0.632,0.585,0.088,0.608,0.749,0.713,0.3
Howso2,41.77590465545654,LightGBM,0.84,0.615,0.585,0.094,0.6,0.746,0.711,0.301
Howso2,41.77590465545654,Adaboost,0.82,0.551,0.659,0.138,0.6,0.76,0.747,0.261
Howso2,41.77590465545654,GBDT,0.835,0.595,0.61,0.107,0.602,0.751,0.725,0.286
DS,0.23823285102844238,SVM,0.815,0.643,0.22,0.031,0.327,0.594,0.358,0.552
DS,0.23823285102844238,KNN,0.835,0.654,0.415,0.057,0.507,0.679,0.576,0.416
DS,0.23823285102844238,LR,0.825,0.607,0.415,0.069,0.493,0.673,0.574,0.417
DS,0.23823285102844238,DT,0.79,0.486,0.415,0.113,0.447,0.651,0.565,0.422
DS,0.23823285102844238,RF,0.845,0.692,0.439,0.05,0.537,0.694,0.6,0.398
DS,0.23823285102844238,LightGBM,0.855,0.667,0.585,0.075,0.623,0.755,0.717,0.298
DS,0.23823285102844238,Adaboost,0.815,0.559,0.463,0.094,0.507,0.685,0.613,0.385
DS,0.23823285102844238,GBDT,0.83,0.6,0.512,0.088,0.553,0.712,0.656,0.351
SDV_FASTML,0.5145883560180664,SVM,0.83,0.606,0.488,0.082,0.541,0.703,0.637,0.367
SDV_FASTML,0.5145883560180664,KNN,0.845,0.692,0.439,0.05,0.537,0.694,0.6,0.398
SDV_FASTML,0.5145883560180664,LR,0.805,0.531,0.415,0.094,0.466,0.66,0.569,0.419
SDV_FASTML,0.5145883560180664,DT,0.755,0.423,0.537,0.189,0.473,0.674,0.646,0.354
SDV_FASTML,0.5145883560180664,RF,0.85,0.667,0.537,0.069,0.595,0.734,0.681,0.331
SDV_FASTML,0.5145883560180664,LightGBM,0.85,0.657,0.561,0.075,0.605,0.743,0.698,0.315
SDV_FASTML,0.5145883560180664,Adaboost,0.835,0.591,0.634,0.113,0.612,0.76,0.739,0.271
SDV_FASTML,0.5145883560180664,GBDT,0.85,0.628,0.659,0.101,0.643,0.779,0.76,0.252
SDV_GC,4.012479305267334,SVM,0.83,0.63,0.415,0.063,0.5,0.676,0.575,0.416
SDV_GC,4.012479305267334,KNN,0.865,0.818,0.439,0.025,0.571,0.707,0.605,0.397
SDV_GC,4.012479305267334,LR,0.815,0.567,0.415,0.082,0.479,0.666,0.571,0.418
SDV_GC,4.012479305267334,DT,0.8,0.513,0.488,0.119,0.5,0.684,0.628,0.372
SDV_GC,4.012479305267334,RF,0.865,0.75,0.512,0.044,0.609,0.734,0.667,0.346
SDV_GC,4.012479305267334,LightGBM,0.855,0.676,0.561,0.069,0.613,0.746,0.7,0.314
SDV_GC,4.012479305267334,Adaboost,0.79,0.488,0.512,0.138,0.5,0.687,0.642,0.359
SDV_GC,4.012479305267334,GBDT,0.83,0.59,0.561,0.101,0.575,0.73,0.691,0.318
SDV_GAN,25.27133560180664,SVM,0.815,0.571,0.39,0.075,0.464,0.657,0.549,0.434
SDV_GAN,25.27133560180664,KNN,0.845,0.727,0.39,0.038,0.508,0.676,0.555,0.432
SDV_GAN,25.27133560180664,LR,0.82,0.586,0.415,0.075,0.486,0.67,0.573,0.417
SDV_GAN,25.27133560180664,DT,0.77,0.449,0.537,0.17,0.489,0.683,0.652,0.349
SDV_GAN,25.27133560180664,RF,0.83,0.6,0.512,0.088,0.553,0.712,0.656,0.351
SDV_GAN,25.27133560180664,LightGBM,0.85,0.657,0.561,0.075,0.605,0.743,0.698,0.315
SDV_GAN,25.27133560180664,Adaboost,0.835,0.595,0.61,0.107,0.602,0.751,0.725,0.286
SDV_GAN,25.27133560180664,GBDT,0.83,0.585,0.585,0.107,0.585,0.739,0.707,0.303
DAZZLE1,390.00335454940796,SVM,0.815,0.577,0.366,0.069,0.448,0.648,0.525,0.451
DAZZLE1,390.00335454940796,KNN,0.835,0.667,0.39,0.05,0.492,0.67,0.553,0.433
DAZZLE1,390.00335454940796,LR,0.8,0.512,0.537,0.132,0.524,0.702,0.663,0.341
DAZZLE1,390.00335454940796,DT,0.795,0.5,0.512,0.132,0.506,0.69,0.644,0.357
DAZZLE1,390.00335454940796,RF,0.835,0.625,0.488,0.075,0.548,0.706,0.639,0.366
DAZZLE1,390.00335454940796,LightGBM,0.85,0.677,0.512,0.063,0.583,0.725,0.662,0.348
DAZZLE1,390.00335454940796,Adaboost,0.825,0.583,0.512,0.094,0.545,0.709,0.654,0.351
DAZZLE1,390.00335454940796,GBDT,0.82,0.564,0.537,0.107,0.55,0.715,0.67,0.336
DAZZLE2,516.22558426857,SVM,0.83,0.606,0.488,0.082,0.541,0.703,0.637,0.367
DAZZLE2,516.22558426857,KNN,0.85,0.739,0.415,0.038,0.531,0.688,0.58,0.415
DAZZLE2,516.22558426857,LR,0.805,0.522,0.585,0.138,0.552,0.724,0.697,0.309
DAZZLE2,516.22558426857,DT,0.79,0.489,0.537,0.145,0.512,0.696,0.659,0.343
DAZZLE2,516.22558426857,RF,0.85,0.657,0.561,0.075,0.605,0.743,0.698,0.315
DAZZLE2,516.22558426857,LightGBM,0.835,0.611,0.537,0.088,0.571,0.724,0.676,0.334
DAZZLE2,516.22558426857,Adaboost,0.82,0.571,0.488,0.094,0.526,0.697,0.634,0.368
DAZZLE2,516.22558426857,GBDT,0.85,0.641,0.61,0.088,0.625,0.761,0.731,0.283
