oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.86,0.5,0.024,0.004,0.045,0.51,0.047,0.69
No,0,KNN,0.867,0.545,0.286,0.039,0.375,0.623,0.44,0.506
No,0,LR,0.877,0.632,0.286,0.027,0.393,0.629,0.442,0.505
No,0,DT,0.783,0.265,0.31,0.14,0.286,0.585,0.455,0.498
No,0,RF,0.867,0.625,0.119,0.012,0.2,0.554,0.212,0.623
No,0,LightGBM,0.867,0.562,0.214,0.027,0.31,0.594,0.351,0.556
No,0,Adaboost,0.817,0.303,0.238,0.089,0.267,0.574,0.378,0.542
No,0,GBDT,0.857,0.483,0.333,0.058,0.394,0.638,0.492,0.473
Random,0.01,SVM,0.763,0.321,0.619,0.213,0.423,0.703,0.693,0.309
Random,0.01,KNN,0.827,0.411,0.548,0.128,0.469,0.71,0.673,0.332
Random,0.01,LR,0.69,0.252,0.619,0.298,0.359,0.66,0.658,0.342
Random,0.01,DT,0.783,0.244,0.262,0.132,0.253,0.565,0.402,0.53
Random,0.01,RF,0.877,0.6,0.357,0.039,0.448,0.659,0.521,0.455
Random,0.01,LightGBM,0.857,0.484,0.357,0.062,0.411,0.648,0.517,0.457
Random,0.01,Adaboost,0.753,0.289,0.524,0.209,0.373,0.657,0.63,0.368
Random,0.01,GBDT,0.827,0.361,0.31,0.089,0.333,0.61,0.462,0.492
ADASYN,0.06,SVM,0.753,0.289,0.524,0.209,0.373,0.657,0.63,0.368
ADASYN,0.06,KNN,0.793,0.368,0.667,0.186,0.475,0.74,0.733,0.27
ADASYN,0.06,LR,0.687,0.24,0.571,0.295,0.338,0.638,0.631,0.368
ADASYN,0.06,DT,0.753,0.265,0.429,0.194,0.327,0.617,0.56,0.427
ADASYN,0.06,RF,0.857,0.486,0.429,0.074,0.456,0.677,0.586,0.407
ADASYN,0.06,LightGBM,0.853,0.469,0.357,0.066,0.405,0.646,0.517,0.457
ADASYN,0.06,Adaboost,0.787,0.317,0.452,0.159,0.373,0.647,0.588,0.403
ADASYN,0.06,GBDT,0.817,0.341,0.333,0.105,0.337,0.614,0.486,0.477
BorderlineSMOTE,0.07,SVM,0.787,0.343,0.571,0.178,0.429,0.697,0.674,0.328
BorderlineSMOTE,0.07,KNN,0.797,0.366,0.619,0.174,0.46,0.722,0.708,0.296
BorderlineSMOTE,0.07,LR,0.71,0.258,0.571,0.267,0.356,0.652,0.642,0.357
BorderlineSMOTE,0.07,DT,0.79,0.322,0.452,0.155,0.376,0.649,0.589,0.402
BorderlineSMOTE,0.07,RF,0.847,0.45,0.429,0.085,0.439,0.672,0.584,0.409
BorderlineSMOTE,0.07,LightGBM,0.857,0.486,0.405,0.07,0.442,0.667,0.564,0.424
BorderlineSMOTE,0.07,Adaboost,0.76,0.286,0.476,0.194,0.357,0.641,0.599,0.395
BorderlineSMOTE,0.07,GBDT,0.813,0.348,0.381,0.116,0.364,0.632,0.532,0.445
SMOTE,0.01,SVM,0.793,0.348,0.548,0.167,0.426,0.69,0.661,0.341
SMOTE,0.01,KNN,0.78,0.342,0.619,0.194,0.441,0.713,0.7,0.302
SMOTE,0.01,LR,0.69,0.242,0.571,0.291,0.34,0.64,0.633,0.366
SMOTE,0.01,DT,0.753,0.271,0.452,0.198,0.339,0.627,0.579,0.412
SMOTE,0.01,RF,0.873,0.556,0.476,0.062,0.513,0.707,0.632,0.373
SMOTE,0.01,LightGBM,0.85,0.452,0.333,0.066,0.384,0.634,0.491,0.474
SMOTE,0.01,Adaboost,0.763,0.284,0.452,0.186,0.349,0.633,0.582,0.409
