oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.874,1.0,0.041,0.0,0.078,0.52,0.078,0.678
No,0,KNN,0.866,0.48,0.245,0.04,0.324,0.602,0.39,0.535
No,0,LR,0.866,0.455,0.102,0.019,0.167,0.542,0.185,0.635
No,0,DT,0.834,0.39,0.469,0.111,0.426,0.679,0.614,0.383
No,0,RF,0.893,0.714,0.306,0.019,0.429,0.644,0.467,0.491
No,0,LightGBM,0.885,0.625,0.306,0.028,0.411,0.639,0.466,0.491
No,0,Adaboost,0.877,0.588,0.204,0.022,0.303,0.591,0.338,0.563
No,0,GBDT,0.842,0.404,0.429,0.096,0.416,0.666,0.582,0.41
Random,0.01,SVM,0.791,0.333,0.592,0.179,0.426,0.706,0.688,0.315
Random,0.01,KNN,0.772,0.3,0.551,0.194,0.388,0.678,0.654,0.346
Random,0.01,LR,0.761,0.296,0.592,0.213,0.395,0.689,0.676,0.326
Random,0.01,DT,0.799,0.229,0.224,0.114,0.227,0.555,0.358,0.554
Random,0.01,RF,0.898,0.72,0.367,0.022,0.486,0.673,0.534,0.448
Random,0.01,LightGBM,0.874,0.531,0.347,0.046,0.42,0.65,0.509,0.463
Random,0.01,Adaboost,0.81,0.347,0.51,0.145,0.413,0.683,0.639,0.361
Random,0.01,GBDT,0.855,0.439,0.367,0.071,0.4,0.648,0.527,0.45
ADASYN,0.04,SVM,0.81,0.347,0.51,0.145,0.413,0.683,0.639,0.361
ADASYN,0.04,KNN,0.772,0.312,0.612,0.204,0.414,0.704,0.692,0.31
ADASYN,0.04,LR,0.748,0.286,0.612,0.231,0.39,0.69,0.682,0.319
ADASYN,0.04,DT,0.828,0.388,0.531,0.127,0.448,0.702,0.66,0.344
ADASYN,0.04,RF,0.89,0.6,0.49,0.049,0.539,0.72,0.646,0.362
ADASYN,0.04,LightGBM,0.885,0.6,0.367,0.037,0.456,0.665,0.532,0.448
ADASYN,0.04,Adaboost,0.874,0.526,0.408,0.056,0.46,0.676,0.57,0.42
ADASYN,0.04,GBDT,0.863,0.477,0.429,0.071,0.452,0.679,0.587,0.407
BorderlineSMOTE,0.07,SVM,0.807,0.342,0.51,0.148,0.41,0.681,0.638,0.362
BorderlineSMOTE,0.07,KNN,0.769,0.297,0.551,0.198,0.386,0.677,0.653,0.347
BorderlineSMOTE,0.07,LR,0.759,0.293,0.592,0.216,0.392,0.688,0.674,0.327
BorderlineSMOTE,0.07,DT,0.82,0.375,0.551,0.139,0.446,0.706,0.672,0.332
BorderlineSMOTE,0.07,RF,0.885,0.575,0.469,0.052,0.517,0.708,0.628,0.377
BorderlineSMOTE,0.07,LightGBM,0.885,0.6,0.367,0.037,0.456,0.665,0.532,0.448
BorderlineSMOTE,0.07,Adaboost,0.855,0.451,0.469,0.086,0.46,0.691,0.62,0.38
BorderlineSMOTE,0.07,GBDT,0.861,0.467,0.429,0.074,0.447,0.677,0.586,0.407
SMOTE,0.03,SVM,0.802,0.333,0.51,0.154,0.403,0.678,0.636,0.363
SMOTE,0.03,KNN,0.777,0.315,0.592,0.194,0.411,0.699,0.682,0.32
SMOTE,0.03,LR,0.759,0.297,0.612,0.219,0.4,0.697,0.686,0.315
SMOTE,0.03,DT,0.783,0.289,0.449,0.167,0.352,0.641,0.584,0.407
SMOTE,0.03,RF,0.882,0.564,0.449,0.052,0.5,0.698,0.609,0.391
SMOTE,0.03,LightGBM,0.882,0.593,0.327,0.034,0.421,0.646,0.488,0.477
SMOTE,0.03,Adaboost,0.858,0.452,0.388,0.071,0.418,0.658,0.547,0.436
SMOTE,0.03,GBDT,0.89,0.605,0.469,0.046,0.529,0.712,0.629,0.377
SVMSMOTE,0.17,SVM,0.869,0.5,0.265,0.04,0.347,0.613,0.416,0.52
SVMSMOTE,0.17,KNN,0.804,0.329,0.469,0.145,0.387,0.662,0.606,0.389
SVMSMOTE,0.17,LR,0.861,0.465,0.408,0.071,0.435,0.669,0.567,0.421
SVMSMOTE,0.17,DT,0.82,0.345,0.408,0.117,0.374,0.645,0.558,0.427
SVMSMOTE,0.17,RF,0.901,0.731,0.388,0.022,0.507,0.683,0.555,0.433
SVMSMOTE,0.17,LightGBM,0.895,0.667,0.408,0.031,0.506,0.689,0.574,0.419
SVMSMOTE,0.17,Adaboost,0.861,0.459,0.347,0.062,0.395,0.643,0.507,0.464
