oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.904,0.969,0.343,0.002,0.506,0.67,0.51,0.465
No,0,KNN,0.903,0.752,0.486,0.027,0.591,0.73,0.648,0.364
No,0,LR,0.872,0.727,0.177,0.011,0.284,0.583,0.3,0.582
No,0,DT,0.857,0.506,0.503,0.083,0.504,0.71,0.649,0.356
No,0,RF,0.906,0.789,0.475,0.021,0.593,0.727,0.64,0.371
No,0,LightGBM,0.91,0.783,0.519,0.024,0.625,0.748,0.678,0.34
No,0,Adaboost,0.915,0.843,0.503,0.016,0.63,0.743,0.666,0.352
No,0,GBDT,0.914,0.812,0.525,0.02,0.638,0.752,0.683,0.336
Random,0.01,SVM,0.88,0.581,0.597,0.073,0.589,0.762,0.726,0.29
Random,0.01,KNN,0.845,0.47,0.613,0.116,0.532,0.748,0.724,0.286
Random,0.01,LR,0.794,0.366,0.586,0.171,0.45,0.707,0.686,0.317
Random,0.01,DT,0.856,0.5,0.536,0.09,0.517,0.723,0.674,0.334
Random,0.01,RF,0.902,0.72,0.525,0.034,0.607,0.745,0.68,0.337
Random,0.01,LightGBM,0.889,0.621,0.597,0.061,0.608,0.768,0.73,0.288
Random,0.01,Adaboost,0.841,0.464,0.68,0.132,0.552,0.774,0.762,0.245
Random,0.01,GBDT,0.869,0.542,0.602,0.086,0.571,0.758,0.726,0.288
ADASYN,0.03,SVM,0.669,0.27,0.757,0.345,0.398,0.706,0.702,0.299
ADASYN,0.03,KNN,0.803,0.399,0.718,0.182,0.513,0.768,0.765,0.237
ADASYN,0.03,LR,0.665,0.235,0.586,0.321,0.335,0.632,0.629,0.371
ADASYN,0.03,DT,0.813,0.396,0.569,0.146,0.467,0.711,0.683,0.322
ADASYN,0.03,RF,0.876,0.568,0.602,0.077,0.584,0.762,0.729,0.287
ADASYN,0.03,LightGBM,0.879,0.569,0.663,0.085,0.612,0.789,0.769,0.246
ADASYN,0.03,Adaboost,0.807,0.4,0.674,0.17,0.502,0.752,0.744,0.26
ADASYN,0.03,GBDT,0.86,0.512,0.591,0.095,0.549,0.748,0.715,0.297
BorderlineSMOTE,0.02,SVM,0.696,0.279,0.702,0.305,0.399,0.698,0.698,0.302
BorderlineSMOTE,0.02,KNN,0.807,0.399,0.663,0.169,0.498,0.747,0.738,0.266
BorderlineSMOTE,0.02,LR,0.711,0.24,0.464,0.248,0.316,0.608,0.574,0.417
BorderlineSMOTE,0.02,DT,0.843,0.463,0.547,0.107,0.501,0.72,0.678,0.329
BorderlineSMOTE,0.02,RF,0.88,0.584,0.597,0.072,0.59,0.762,0.726,0.29
BorderlineSMOTE,0.02,LightGBM,0.891,0.612,0.663,0.071,0.637,0.796,0.774,0.244
BorderlineSMOTE,0.02,Adaboost,0.818,0.416,0.657,0.155,0.51,0.751,0.739,0.266
BorderlineSMOTE,0.02,GBDT,0.861,0.516,0.608,0.096,0.558,0.756,0.727,0.286
SMOTE,0.01,SVM,0.847,0.477,0.624,0.115,0.541,0.754,0.732,0.278
SMOTE,0.01,KNN,0.829,0.439,0.674,0.145,0.532,0.764,0.754,0.252
SMOTE,0.01,LR,0.775,0.339,0.591,0.195,0.431,0.698,0.682,0.32
SMOTE,0.01,DT,0.817,0.4,0.541,0.137,0.46,0.702,0.665,0.338
SMOTE,0.01,RF,0.891,0.633,0.58,0.057,0.605,0.762,0.718,0.3
SMOTE,0.01,LightGBM,0.885,0.603,0.597,0.066,0.6,0.765,0.728,0.289
SMOTE,0.01,Adaboost,0.854,0.496,0.652,0.112,0.563,0.77,0.752,0.258
SMOTE,0.01,GBDT,0.877,0.57,0.608,0.077,0.588,0.765,0.733,0.283
SVMSMOTE,0.3,SVM,0.881,0.591,0.575,0.067,0.583,0.754,0.711,0.305
SVMSMOTE,0.3,KNN,0.843,0.466,0.613,0.118,0.53,0.748,0.723,0.286
SVMSMOTE,0.3,LR,0.822,0.414,0.575,0.137,0.481,0.719,0.69,0.316
SVMSMOTE,0.3,DT,0.846,0.472,0.569,0.107,0.516,0.731,0.695,0.314
SVMSMOTE,0.3,RF,0.894,0.656,0.558,0.049,0.603,0.754,0.703,0.314
SVMSMOTE,0.3,LightGBM,0.898,0.661,0.602,0.052,0.63,0.775,0.736,0.284
SVMSMOTE,0.3,Adaboost,0.88,0.585,0.591,0.071,0.588,0.76,0.723,0.293
SVMSMOTE,0.3,GBDT,0.88,0.578,0.613,0.075,0.595,0.769,0.737,0.279
SMOTUNED,99.32,SVM,0.87,0.548,0.564,0.078,0.556,0.743,0.699,0.314
SMOTUNED,52.83,KNN,0.803,0.396,0.696,0.179,0.505,0.759,0.754,0.249
SMOTUNED,845.3,LR,0.775,0.339,0.591,0.195,0.431,0.698,0.682,0.32
SMOTUNED,45.38,DT,0.761,0.336,0.674,0.224,0.449,0.725,0.721,0.28
SMOTUNED,217.9,RF,0.838,0.46,0.696,0.138,0.554,0.779,0.77,0.236
SMOTUNED,89.59,LightGBM,0.83,0.447,0.74,0.155,0.557,0.793,0.789,0.214
SMOTUNED,176.79,Adaboost,0.84,0.462,0.68,0.133,0.55,0.773,0.762,0.245
SMOTUNED,285.71,GBDT,0.815,0.412,0.663,0.159,0.508,0.752,0.741,0.264
DAZZLE,1128.59,SVM,0.837,0.328,0.122,0.042,0.177,0.54,0.216,0.622
DAZZLE,1128.59,KNN,0.865,0.824,0.077,0.003,0.141,0.537,0.144,0.652
DAZZLE,1128.59,LR,0.856,0.0,0.0,0.0,0.0,0.5,0.0,0.707
DAZZLE,1128.59,DT,0.496,0.158,0.575,0.517,0.248,0.529,0.525,0.473
DAZZLE,1128.59,RF,0.822,0.213,0.088,0.055,0.125,0.517,0.162,0.646
DAZZLE,1128.59,LightGBM,0.671,0.217,0.492,0.299,0.301,0.596,0.578,0.417
DAZZLE,1128.59,Adaboost,0.865,0.677,0.116,0.009,0.198,0.553,0.208,0.625
DAZZLE,1128.59,GBDT,0.772,0.213,0.215,0.134,0.214,0.541,0.345,0.563
WGAN,169.59,SVM,0.855,0.0,0.0,0.001,0.0,0.5,0.0,0.707
WGAN,169.59,KNN,0.867,0.889,0.088,0.002,0.161,0.543,0.162,0.645
WGAN,169.59,LR,0.871,0.63,0.254,0.025,0.362,0.615,0.403,0.528
WGAN,169.59,DT,0.507,0.178,0.669,0.52,0.281,0.574,0.558,0.436
WGAN,169.59,RF,0.601,0.164,0.431,0.371,0.237,0.53,0.512,0.48
WGAN,169.59,LightGBM,0.845,0.365,0.105,0.031,0.163,0.537,0.189,0.633
