oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.934,0.973,0.478,0.002,0.641,0.738,0.647,0.369
No,0,KNN,0.924,0.753,0.572,0.026,0.65,0.773,0.721,0.303
No,0,LR,0.885,0.606,0.201,0.018,0.302,0.591,0.333,0.565
No,0,DT,0.925,0.714,0.659,0.037,0.685,0.811,0.782,0.243
No,0,RF,0.943,0.893,0.612,0.01,0.726,0.801,0.756,0.274
No,0,LightGBM,0.941,0.902,0.582,0.009,0.707,0.787,0.733,0.296
No,0,Adaboost,0.934,0.897,0.525,0.008,0.662,0.758,0.687,0.336
No,0,GBDT,0.936,0.856,0.579,0.014,0.691,0.782,0.729,0.298
Random,0.01,SVM,0.906,0.619,0.625,0.054,0.622,0.786,0.753,0.268
Random,0.01,KNN,0.912,0.625,0.712,0.06,0.666,0.826,0.81,0.208
Random,0.01,LR,0.853,0.433,0.622,0.115,0.51,0.754,0.731,0.279
Random,0.01,DT,0.918,0.651,0.722,0.055,0.685,0.834,0.819,0.2
Random,0.01,RF,0.93,0.726,0.699,0.037,0.712,0.831,0.81,0.214
Random,0.01,LightGBM,0.927,0.695,0.732,0.045,0.713,0.844,0.829,0.192
Random,0.01,Adaboost,0.859,0.453,0.689,0.117,0.546,0.786,0.774,0.235
Random,0.01,GBDT,0.907,0.601,0.726,0.068,0.658,0.829,0.816,0.2
ADASYN,0.03,SVM,0.795,0.354,0.799,0.205,0.491,0.797,0.797,0.203
ADASYN,0.03,KNN,0.875,0.494,0.719,0.103,0.586,0.808,0.798,0.212
ADASYN,0.03,LR,0.711,0.217,0.515,0.262,0.305,0.627,0.607,0.39
ADASYN,0.03,DT,0.883,0.518,0.719,0.094,0.602,0.812,0.802,0.209
ADASYN,0.03,RF,0.908,0.603,0.736,0.068,0.663,0.834,0.822,0.193
ADASYN,0.03,LightGBM,0.892,0.545,0.729,0.086,0.624,0.822,0.811,0.201
ADASYN,0.03,Adaboost,0.808,0.364,0.746,0.183,0.489,0.781,0.78,0.222
ADASYN,0.03,GBDT,0.883,0.52,0.692,0.09,0.594,0.801,0.786,0.227
BorderlineSMOTE,0.03,SVM,0.797,0.351,0.763,0.198,0.481,0.782,0.782,0.219
BorderlineSMOTE,0.03,KNN,0.889,0.539,0.699,0.084,0.608,0.807,0.793,0.221
BorderlineSMOTE,0.03,LR,0.702,0.196,0.455,0.263,0.274,0.596,0.563,0.428
BorderlineSMOTE,0.03,DT,0.897,0.565,0.722,0.078,0.634,0.822,0.81,0.204
BorderlineSMOTE,0.03,RF,0.917,0.648,0.716,0.055,0.68,0.831,0.815,0.205
BorderlineSMOTE,0.03,LightGBM,0.906,0.597,0.732,0.07,0.658,0.831,0.82,0.195
BorderlineSMOTE,0.03,Adaboost,0.821,0.381,0.719,0.165,0.498,0.777,0.773,0.23
BorderlineSMOTE,0.03,GBDT,0.899,0.575,0.702,0.073,0.633,0.815,0.799,0.217
SMOTE,0.02,SVM,0.899,0.58,0.666,0.068,0.62,0.799,0.777,0.241
SMOTE,0.02,KNN,0.894,0.555,0.689,0.078,0.615,0.806,0.789,0.227
SMOTE,0.02,LR,0.829,0.379,0.605,0.14,0.466,0.733,0.711,0.296
SMOTE,0.02,DT,0.906,0.6,0.702,0.066,0.647,0.818,0.802,0.216
SMOTE,0.02,RF,0.929,0.705,0.726,0.043,0.715,0.841,0.826,0.196
SMOTE,0.02,LightGBM,0.922,0.686,0.686,0.044,0.686,0.821,0.798,0.224
SMOTE,0.02,Adaboost,0.871,0.482,0.682,0.103,0.565,0.79,0.775,0.236
SMOTE,0.02,GBDT,0.907,0.608,0.689,0.063,0.646,0.813,0.794,0.224
SVMSMOTE,0.82,SVM,0.842,0.419,0.729,0.142,0.532,0.794,0.788,0.216
SVMSMOTE,0.82,KNN,0.892,0.55,0.699,0.08,0.616,0.809,0.794,0.22
SVMSMOTE,0.82,LR,0.791,0.328,0.666,0.192,0.439,0.737,0.73,0.273
SVMSMOTE,0.82,DT,0.911,0.618,0.736,0.064,0.672,0.836,0.824,0.192
SVMSMOTE,0.82,RF,0.932,0.729,0.712,0.037,0.721,0.838,0.819,0.205
SVMSMOTE,0.82,LightGBM,0.913,0.634,0.706,0.057,0.668,0.824,0.807,0.212
SVMSMOTE,0.82,Adaboost,0.856,0.448,0.699,0.121,0.546,0.789,0.779,0.229
SVMSMOTE,0.82,GBDT,0.911,0.622,0.709,0.061,0.663,0.824,0.808,0.21
SMOTUNED,198.32,SVM,0.895,0.567,0.625,0.067,0.595,0.779,0.749,0.269
SMOTUNED,95.26,KNN,0.835,0.405,0.722,0.149,0.519,0.787,0.781,0.223
SMOTUNED,1564.7,LR,0.848,0.42,0.619,0.12,0.501,0.749,0.727,0.283
SMOTUNED,82.13,DT,0.812,0.38,0.833,0.191,0.522,0.821,0.821,0.179
SMOTUNED,255.32,RF,0.883,0.517,0.776,0.102,0.62,0.837,0.832,0.174
SMOTUNED,451.47,LightGBM,0.879,0.505,0.773,0.106,0.611,0.833,0.829,0.178
SMOTUNED,240.2,Adaboost,0.852,0.44,0.742,0.133,0.553,0.805,0.8,0.205
SMOTUNED,363.34,GBDT,0.848,0.436,0.789,0.143,0.562,0.823,0.822,0.18
DAZZLE,1135.61,SVM,0.892,0.975,0.13,0.0,0.23,0.565,0.231,0.615
DAZZLE,1135.61,KNN,0.659,0.172,0.462,0.313,0.25,0.574,0.552,0.44
DAZZLE,1135.61,LR,0.894,0.776,0.197,0.008,0.315,0.595,0.329,0.568
DAZZLE,1135.61,DT,0.581,0.081,0.231,0.37,0.12,0.431,0.338,0.603
DAZZLE,1135.61,RF,0.523,0.126,0.482,0.471,0.199,0.505,0.504,0.495
DAZZLE,1135.61,LightGBM,0.237,0.127,0.883,0.854,0.222,0.515,0.251,0.609
DAZZLE,1135.61,Adaboost,0.677,0.206,0.569,0.308,0.303,0.63,0.624,0.375
DAZZLE,1135.61,GBDT,0.891,0.818,0.151,0.005,0.254,0.573,0.261,0.601
WGAN,276.28,SVM,0.868,0.0,0.0,0.01,0.0,0.495,0.0,0.707
WGAN,276.28,KNN,0.877,0.5,0.124,0.017,0.198,0.553,0.22,0.62
WGAN,276.28,LR,0.748,0.19,0.321,0.192,0.239,0.564,0.459,0.499
WGAN,276.28,DT,0.513,0.131,0.525,0.488,0.21,0.518,0.518,0.482
WGAN,276.28,RF,0.37,0.126,0.692,0.675,0.213,0.508,0.442,0.525
WGAN,276.28,LightGBM,0.871,0.447,0.211,0.037,0.286,0.587,0.346,0.559
WGAN,276.28,Adaboost,0.888,0.667,0.181,0.013,0.284,0.584,0.305,0.579
WGAN,276.28,GBDT,0.23,0.133,0.95,0.872,0.233,0.539,0.226,0.617
RP,3.552823781967163,SVM,0.928,0.784,0.572,0.022,0.662,0.775,0.722,0.303
RP,3.552823781967163,KNN,0.916,0.657,0.666,0.049,0.661,0.808,0.783,0.239
RP,3.552823781967163,LR,0.885,0.535,0.542,0.066,0.538,0.738,0.686,0.327
RP,3.552823781967163,DT,0.92,0.671,0.696,0.048,0.683,0.824,0.804,0.218
RP,3.552823781967163,RF,0.938,0.777,0.699,0.028,0.736,0.835,0.813,0.214
RP,3.552823781967163,LightGBM,0.936,0.815,0.619,0.02,0.703,0.799,0.759,0.27
RP,3.552823781967163,Adaboost,0.91,0.64,0.612,0.048,0.626,0.782,0.745,0.276
RP,3.552823781967163,GBDT,0.93,0.758,0.639,0.029,0.693,0.805,0.771,0.256
Diveplane1,58.05694532394409,SVM,0.901,0.597,0.619,0.059,0.608,0.78,0.747,0.273
Diveplane1,58.05694532394409,KNN,0.872,0.487,0.706,0.104,0.577,0.801,0.789,0.221
Diveplane1,58.05694532394409,LR,0.826,0.375,0.619,0.145,0.467,0.737,0.718,0.288
Diveplane1,58.05694532394409,DT,0.829,0.399,0.756,0.16,0.522,0.798,0.796,0.207
Diveplane1,58.05694532394409,RF,0.885,0.522,0.739,0.095,0.612,0.822,0.814,0.196
Diveplane1,58.05694532394409,LightGBM,0.891,0.542,0.729,0.087,0.622,0.821,0.811,0.201
Diveplane1,58.05694532394409,Adaboost,0.847,0.431,0.749,0.139,0.547,0.805,0.801,0.203
Diveplane1,58.05694532394409,GBDT,0.881,0.512,0.709,0.095,0.595,0.807,0.795,0.216
Diveplane2,50.52622866630554,SVM,0.913,0.656,0.612,0.045,0.633,0.783,0.746,0.276
Diveplane2,50.52622866630554,KNN,0.908,0.611,0.692,0.062,0.649,0.815,0.797,0.222
Diveplane2,50.52622866630554,LR,0.84,0.403,0.622,0.13,0.489,0.746,0.726,0.283
Diveplane2,50.52622866630554,DT,0.919,0.676,0.662,0.045,0.669,0.809,0.782,0.241
Diveplane2,50.52622866630554,RF,0.934,0.75,0.692,0.032,0.72,0.83,0.807,0.219
