oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.902,0.939,0.343,0.004,0.502,0.669,0.51,0.465
No,0,KNN,0.892,0.689,0.464,0.035,0.554,0.714,0.627,0.38
No,0,LR,0.873,0.8,0.155,0.007,0.259,0.574,0.268,0.598
No,0,DT,0.851,0.484,0.508,0.091,0.496,0.709,0.652,0.354
No,0,RF,0.896,0.734,0.442,0.027,0.552,0.707,0.608,0.395
No,0,LightGBM,0.909,0.832,0.464,0.016,0.596,0.724,0.631,0.379
No,0,Adaboost,0.901,0.806,0.414,0.017,0.547,0.699,0.583,0.414
No,0,GBDT,0.871,0.566,0.453,0.059,0.503,0.697,0.612,0.389
Random,0.01,SVM,0.873,0.56,0.564,0.074,0.562,0.745,0.701,0.313
Random,0.01,KNN,0.833,0.441,0.597,0.128,0.507,0.735,0.709,0.299
Random,0.01,LR,0.786,0.348,0.558,0.176,0.429,0.691,0.665,0.336
Random,0.01,DT,0.843,0.46,0.508,0.101,0.483,0.704,0.65,0.355
Random,0.01,RF,0.897,0.706,0.492,0.034,0.58,0.729,0.652,0.36
Random,0.01,LightGBM,0.874,0.567,0.536,0.069,0.551,0.734,0.68,0.332
Random,0.01,Adaboost,0.826,0.424,0.575,0.131,0.488,0.722,0.692,0.315
Random,0.01,GBDT,0.864,0.525,0.58,0.088,0.551,0.746,0.709,0.303
ADASYN,0.11,SVM,0.665,0.261,0.724,0.345,0.384,0.69,0.688,0.312
ADASYN,0.11,KNN,0.794,0.374,0.63,0.178,0.469,0.726,0.713,0.29
ADASYN,0.11,LR,0.657,0.229,0.586,0.331,0.33,0.627,0.624,0.375
ADASYN,0.11,DT,0.837,0.444,0.525,0.111,0.481,0.707,0.66,0.345
ADASYN,0.11,RF,0.886,0.62,0.541,0.056,0.578,0.743,0.688,0.327
ADASYN,0.11,LightGBM,0.904,0.736,0.525,0.032,0.613,0.747,0.681,0.337
ADASYN,0.11,Adaboost,0.785,0.355,0.602,0.184,0.447,0.709,0.693,0.31
ADASYN,0.11,GBDT,0.876,0.583,0.486,0.059,0.53,0.714,0.641,0.366
BorderlineSMOTE,0.04,SVM,0.734,0.306,0.669,0.255,0.42,0.707,0.705,0.296
BorderlineSMOTE,0.04,KNN,0.814,0.401,0.591,0.149,0.478,0.721,0.698,0.308
BorderlineSMOTE,0.04,LR,0.688,0.238,0.53,0.286,0.329,0.622,0.609,0.389
BorderlineSMOTE,0.04,DT,0.83,0.427,0.514,0.116,0.466,0.699,0.65,0.354
BorderlineSMOTE,0.04,RF,0.885,0.615,0.547,0.058,0.579,0.745,0.692,0.323
BorderlineSMOTE,0.04,LightGBM,0.898,0.691,0.53,0.04,0.6,0.745,0.683,0.333
BorderlineSMOTE,0.04,Adaboost,0.815,0.408,0.624,0.153,0.493,0.736,0.719,0.287
BorderlineSMOTE,0.04,GBDT,0.888,0.634,0.536,0.052,0.581,0.742,0.685,0.33
SMOTE,0.03,SVM,0.857,0.502,0.569,0.095,0.534,0.737,0.699,0.312
SMOTE,0.03,KNN,0.814,0.404,0.608,0.151,0.486,0.728,0.708,0.297
SMOTE,0.03,LR,0.778,0.334,0.547,0.183,0.415,0.682,0.655,0.346
SMOTE,0.03,DT,0.845,0.464,0.492,0.096,0.477,0.698,0.637,0.366
SMOTE,0.03,RF,0.882,0.608,0.514,0.056,0.557,0.729,0.665,0.346
SMOTE,0.03,LightGBM,0.908,0.769,0.514,0.026,0.616,0.744,0.673,0.344
SMOTE,0.03,Adaboost,0.845,0.471,0.586,0.111,0.522,0.737,0.706,0.303
SMOTE,0.03,GBDT,0.893,0.682,0.486,0.038,0.568,0.724,0.646,0.364
SVMSMOTE,0.25,SVM,0.853,0.493,0.558,0.097,0.523,0.731,0.69,0.32
SVMSMOTE,0.25,KNN,0.834,0.445,0.602,0.127,0.512,0.738,0.713,0.295
SVMSMOTE,0.25,LR,0.767,0.322,0.552,0.196,0.407,0.678,0.655,0.346
SVMSMOTE,0.25,DT,0.833,0.436,0.53,0.115,0.479,0.707,0.663,0.342
SVMSMOTE,0.25,RF,0.89,0.644,0.53,0.049,0.582,0.741,0.681,0.334
SVMSMOTE,0.25,LightGBM,0.898,0.693,0.525,0.039,0.597,0.743,0.679,0.337
SVMSMOTE,0.25,Adaboost,0.858,0.507,0.597,0.098,0.548,0.749,0.718,0.293
SVMSMOTE,0.25,GBDT,0.886,0.628,0.514,0.051,0.565,0.731,0.667,0.346
SMOTUNED,150.21,SVM,0.864,0.528,0.519,0.078,0.524,0.721,0.664,0.344
SMOTUNED,95.59,KNN,0.757,0.332,0.68,0.23,0.446,0.725,0.722,0.279
SMOTUNED,1074.01,LR,0.769,0.318,0.525,0.19,0.396,0.667,0.637,0.362
SMOTUNED,90.2,DT,0.747,0.315,0.646,0.236,0.424,0.705,0.7,0.301
SMOTUNED,270.99,RF,0.829,0.439,0.657,0.142,0.527,0.758,0.745,0.262
SMOTUNED,365.54,LightGBM,0.85,0.485,0.624,0.112,0.546,0.756,0.733,0.277
SMOTUNED,270.98,Adaboost,0.831,0.438,0.602,0.13,0.507,0.736,0.712,0.296
SMOTUNED,400.18,GBDT,0.806,0.398,0.68,0.173,0.502,0.753,0.746,0.258
DAZZLE,48.97,SVM,0.904,0.955,0.354,0.003,0.516,0.675,0.522,0.457
DAZZLE,48.97,KNN,0.892,0.692,0.459,0.034,0.551,0.712,0.622,0.384
DAZZLE,48.97,LR,0.876,0.783,0.199,0.009,0.317,0.595,0.331,0.567
DAZZLE,48.97,DT,0.838,0.443,0.475,0.101,0.459,0.687,0.622,0.378
DAZZLE,48.97,RF,0.898,0.748,0.442,0.025,0.556,0.708,0.608,0.395
DAZZLE,48.97,LightGBM,0.909,0.825,0.47,0.017,0.599,0.726,0.636,0.375
