oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.904,0.969,0.348,0.002,0.512,0.673,0.516,0.461
No,0,KNN,0.904,0.75,0.497,0.028,0.598,0.735,0.658,0.356
No,0,LR,0.875,0.786,0.182,0.008,0.296,0.587,0.308,0.578
No,0,DT,0.849,0.476,0.497,0.092,0.486,0.703,0.643,0.361
No,0,RF,0.9,0.733,0.486,0.03,0.585,0.728,0.648,0.364
No,0,LightGBM,0.914,0.807,0.53,0.021,0.64,0.754,0.688,0.332
No,0,Adaboost,0.909,0.832,0.464,0.016,0.596,0.724,0.631,0.379
No,0,GBDT,0.884,0.613,0.525,0.056,0.565,0.734,0.675,0.338
Random,0.01,SVM,0.87,0.6,0.298,0.034,0.399,0.632,0.456,0.497
Random,0.01,KNN,0.822,0.412,0.558,0.134,0.474,0.712,0.679,0.327
Random,0.01,LR,0.466,0.154,0.602,0.557,0.245,0.523,0.511,0.484
Random,0.01,DT,0.847,0.472,0.519,0.098,0.495,0.711,0.659,0.347
Random,0.01,RF,0.888,0.639,0.508,0.048,0.566,0.73,0.663,0.349
Random,0.01,LightGBM,0.88,0.586,0.586,0.07,0.586,0.758,0.719,0.297
Random,0.01,Adaboost,0.829,0.437,0.646,0.141,0.521,0.753,0.738,0.269
Random,0.01,GBDT,0.855,0.498,0.591,0.101,0.54,0.745,0.713,0.298
ADASYN,0.05,SVM,0.853,0.489,0.37,0.065,0.421,0.652,0.53,0.448
ADASYN,0.05,KNN,0.749,0.318,0.646,0.234,0.426,0.706,0.701,0.3
ADASYN,0.05,LR,0.577,0.169,0.492,0.409,0.251,0.541,0.537,0.461
ADASYN,0.05,DT,0.824,0.422,0.602,0.139,0.497,0.732,0.709,0.298
ADASYN,0.05,RF,0.871,0.548,0.597,0.083,0.571,0.757,0.723,0.291
ADASYN,0.05,LightGBM,0.869,0.538,0.619,0.089,0.576,0.765,0.737,0.277
ADASYN,0.05,Adaboost,0.769,0.349,0.696,0.219,0.465,0.739,0.736,0.265
ADASYN,0.05,GBDT,0.858,0.507,0.619,0.101,0.557,0.759,0.733,0.279
BorderlineSMOTE,0.03,SVM,0.843,0.447,0.37,0.077,0.405,0.646,0.528,0.449
BorderlineSMOTE,0.03,KNN,0.787,0.364,0.635,0.187,0.463,0.724,0.713,0.29
BorderlineSMOTE,0.03,LR,0.579,0.171,0.497,0.407,0.254,0.545,0.541,0.457
BorderlineSMOTE,0.03,DT,0.825,0.419,0.541,0.127,0.472,0.707,0.668,0.336
BorderlineSMOTE,0.03,RF,0.864,0.526,0.569,0.087,0.546,0.741,0.701,0.311
BorderlineSMOTE,0.03,LightGBM,0.873,0.553,0.602,0.082,0.577,0.76,0.727,0.287
BorderlineSMOTE,0.03,Adaboost,0.797,0.381,0.657,0.18,0.483,0.739,0.73,0.274
BorderlineSMOTE,0.03,GBDT,0.853,0.493,0.602,0.104,0.542,0.749,0.72,0.291
SMOTE,0.02,SVM,0.871,0.609,0.293,0.032,0.396,0.631,0.45,0.501
SMOTE,0.02,KNN,0.783,0.36,0.646,0.194,0.462,0.726,0.718,0.285
SMOTE,0.02,LR,0.5,0.181,0.696,0.533,0.287,0.582,0.559,0.434
SMOTE,0.02,DT,0.828,0.432,0.619,0.137,0.509,0.741,0.721,0.286
SMOTE,0.02,RF,0.876,0.574,0.558,0.07,0.566,0.744,0.698,0.316
SMOTE,0.02,LightGBM,0.885,0.607,0.58,0.063,0.593,0.758,0.716,0.3
SMOTE,0.02,Adaboost,0.848,0.479,0.635,0.116,0.546,0.759,0.739,0.271
SMOTE,0.02,GBDT,0.861,0.517,0.591,0.093,0.552,0.749,0.716,0.296
SVMSMOTE,0.27,SVM,0.871,0.609,0.293,0.032,0.396,0.631,0.45,0.501
SVMSMOTE,0.27,KNN,0.811,0.399,0.608,0.155,0.481,0.727,0.707,0.298
SVMSMOTE,0.27,LR,0.48,0.156,0.591,0.538,0.247,0.526,0.519,0.478
SVMSMOTE,0.27,DT,0.823,0.418,0.575,0.135,0.484,0.72,0.69,0.316
SVMSMOTE,0.27,RF,0.878,0.581,0.552,0.067,0.567,0.743,0.694,0.32
SVMSMOTE,0.27,LightGBM,0.893,0.642,0.586,0.055,0.613,0.765,0.723,0.296
SVMSMOTE,0.27,Adaboost,0.858,0.507,0.613,0.101,0.555,0.756,0.729,0.283
