oversampling_scheme,runtime,learner,acc,prec,recall,fpr,f1,auc,g_score,d2h
No,0,SVM,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
No,0,KNN,0.985,0.0,0.0,0.002,0.0,0.499,0.0,0.707
No,0,LR,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
No,0,DT,0.971,0.0,0.0,0.017,0.0,0.491,0.0,0.707
No,0,RF,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
No,0,LightGBM,0.983,0.0,0.0,0.005,0.0,0.498,0.0,0.707
No,0,Adaboost,0.983,0.0,0.0,0.005,0.0,0.498,0.0,0.707
No,0,GBDT,0.927,0.069,0.4,0.066,0.118,0.667,0.56,0.427
Random,0.0,SVM,0.85,0.0,0.0,0.14,0.0,0.43,0.0,0.714
Random,0.0,KNN,0.968,0.0,0.0,0.02,0.0,0.49,0.0,0.707
Random,0.0,LR,0.782,0.033,0.6,0.216,0.062,0.692,0.68,0.322
Random,0.0,DT,0.976,0.0,0.0,0.012,0.0,0.494,0.0,0.707
Random,0.0,RF,0.983,0.0,0.0,0.005,0.0,0.498,0.0,0.707
Random,0.0,LightGBM,0.985,0.0,0.0,0.002,0.0,0.499,0.0,0.707
Random,0.0,Adaboost,0.937,0.043,0.2,0.054,0.071,0.573,0.33,0.567
Random,0.0,GBDT,0.985,0.0,0.0,0.002,0.0,0.499,0.0,0.707
ADASYN,0.0,SVM,0.852,0.017,0.2,0.14,0.032,0.53,0.325,0.574
ADASYN,0.0,KNN,0.917,0.0,0.0,0.071,0.0,0.464,0.0,0.709
ADASYN,0.0,LR,0.784,0.023,0.4,0.211,0.043,0.594,0.531,0.45
ADASYN,0.0,DT,0.956,0.0,0.0,0.032,0.0,0.484,0.0,0.707
ADASYN,0.0,RF,0.966,0.091,0.2,0.025,0.125,0.588,0.332,0.566
ADASYN,0.0,LightGBM,0.976,0.0,0.0,0.012,0.0,0.494,0.0,0.707
ADASYN,0.0,Adaboost,0.937,0.043,0.2,0.054,0.071,0.573,0.33,0.567
ADASYN,0.0,GBDT,0.966,0.091,0.2,0.025,0.125,0.588,0.332,0.566
BorderlineSMOTE,0.01,SVM,0.917,0.0,0.0,0.071,0.0,0.464,0.0,0.709
BorderlineSMOTE,0.01,KNN,0.949,0.0,0.0,0.039,0.0,0.48,0.0,0.708
BorderlineSMOTE,0.01,LR,0.881,0.0,0.0,0.108,0.0,0.446,0.0,0.711
BorderlineSMOTE,0.01,DT,0.966,0.0,0.0,0.022,0.0,0.489,0.0,0.707
BorderlineSMOTE,0.01,RF,0.966,0.0,0.0,0.022,0.0,0.489,0.0,0.707
BorderlineSMOTE,0.01,LightGBM,0.968,0.0,0.0,0.02,0.0,0.49,0.0,0.707
BorderlineSMOTE,0.01,Adaboost,0.951,0.059,0.2,0.039,0.091,0.58,0.331,0.566
BorderlineSMOTE,0.01,GBDT,0.942,0.0,0.0,0.047,0.0,0.477,0.0,0.708
SMOTE,0.0,SVM,0.85,0.0,0.0,0.14,0.0,0.43,0.0,0.714
SMOTE,0.0,KNN,0.91,0.0,0.0,0.079,0.0,0.461,0.0,0.709
SMOTE,0.0,LR,0.784,0.023,0.4,0.211,0.043,0.594,0.531,0.45
SMOTE,0.0,DT,0.939,0.0,0.0,0.049,0.0,0.475,0.0,0.708
SMOTE,0.0,RF,0.956,0.0,0.0,0.032,0.0,0.484,0.0,0.707
SMOTE,0.0,LightGBM,0.973,0.0,0.0,0.015,0.0,0.493,0.0,0.707
SMOTE,0.0,Adaboost,0.927,0.037,0.2,0.064,0.062,0.568,0.33,0.567
SMOTE,0.0,GBDT,0.973,0.125,0.2,0.017,0.154,0.591,0.332,0.566
SVMSMOTE,0.01,SVM,0.922,0.0,0.0,0.066,0.0,0.467,0.0,0.709
SVMSMOTE,0.01,KNN,0.947,0.0,0.0,0.042,0.0,0.479,0.0,0.708
SVMSMOTE,0.01,LR,0.9,0.026,0.2,0.091,0.047,0.555,0.328,0.569
SVMSMOTE,0.01,DT,0.968,0.0,0.0,0.02,0.0,0.49,0.0,0.707
SVMSMOTE,0.01,RF,0.968,0.0,0.0,0.02,0.0,0.49,0.0,0.707
SVMSMOTE,0.01,LightGBM,0.968,0.0,0.0,0.02,0.0,0.49,0.0,0.707
SVMSMOTE,0.01,Adaboost,0.954,0.062,0.2,0.037,0.095,0.582,0.331,0.566
SVMSMOTE,0.01,GBDT,0.947,0.0,0.0,0.042,0.0,0.479,0.0,0.708
SMOTUNED,8.2,SVM,0.779,0.033,0.6,0.219,0.062,0.691,0.679,0.322
SMOTUNED,17.22,KNN,0.879,0.0,0.0,0.111,0.0,0.445,0.0,0.711
SMOTUNED,17.22,LR,0.706,0.025,0.6,0.292,0.047,0.654,0.649,0.35
SMOTUNED,5.34,DT,0.867,0.037,0.4,0.128,0.068,0.636,0.548,0.434
SMOTUNED,157.74,RF,0.82,0.014,0.2,0.172,0.026,0.514,0.322,0.579
SMOTUNED,25.43,LightGBM,0.828,0.029,0.4,0.167,0.053,0.616,0.54,0.44
SMOTUNED,70.59,Adaboost,0.752,0.02,0.4,0.243,0.038,0.578,0.523,0.458
SMOTUNED,75.56,GBDT,0.84,0.031,0.4,0.155,0.057,0.623,0.543,0.438
DAZZLE,1071.79,SVM,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
DAZZLE,1071.79,KNN,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
DAZZLE,1071.79,LR,0.913,0.0,0.0,0.076,0.0,0.462,0.0,0.709
DAZZLE,1071.79,DT,0.578,0.017,0.6,0.423,0.033,0.589,0.588,0.411
DAZZLE,1071.79,RF,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
DAZZLE,1071.79,LightGBM,0.93,0.1,0.6,0.066,0.171,0.767,0.731,0.287
DAZZLE,1071.79,Adaboost,0.743,0.01,0.2,0.251,0.019,0.475,0.316,0.593
DAZZLE,1071.79,GBDT,0.985,0.0,0.0,0.002,0.0,0.499,0.0,0.707
WGAN,6.06,SVM,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
WGAN,6.06,KNN,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
WGAN,6.06,LR,0.041,0.012,1.0,0.971,0.025,0.515,0.057,0.686
WGAN,6.06,DT,0.59,0.018,0.6,0.41,0.034,0.595,0.595,0.405
WGAN,6.06,RF,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
WGAN,6.06,LightGBM,0.985,0.0,0.0,0.002,0.0,0.499,0.0,0.707
WGAN,6.06,Adaboost,0.988,0.0,0.0,0.0,0.0,0.5,0.0,0.707
WGAN,6.06,GBDT,0.947,0.0,0.0,0.042,0.0,0.479,0.0,0.708
RP,0.1834728717803955,SVM,0.825,0.0,0.0,0.165,0.0,0.418,0.0,0.717
RP,0.1834728717803955,KNN,0.932,0.0,0.0,0.057,0.0,0.472,0.0,0.708
RP,0.1834728717803955,LR,0.784,0.033,0.6,0.214,0.063,0.693,0.681,0.321
RP,0.1834728717803955,DT,0.956,0.0,0.0,0.032,0.0,0.484,0.0,0.707
RP,0.1834728717803955,RF,0.983,0.25,0.2,0.007,0.222,0.596,0.333,0.566
RP,0.1834728717803955,LightGBM,0.978,0.0,0.0,0.01,0.0,0.495,0.0,0.707
RP,0.1834728717803955,Adaboost,0.949,0.1,0.4,0.044,0.16,0.678,0.564,0.425
RP,0.1834728717803955,GBDT,0.968,0.1,0.2,0.022,0.133,0.589,0.332,0.566
